fileExtracted,Color0,Color2,Color4,Color8,relevante,topic_covid,topic_econ,delta,omicron,alza_casos,baja_casos,R0,R0_2,R0_4,R0_8,lugar
1000_COVID+Morelos,2.0,2.0,1.0,1.0,8.0,0.04618983430949029,0.1569204914972993,0,0,8,10,2.5,5.0,5.0,3.0000000000000004,Morelos
1001_COVID+Morelos,2.0,2.0,2.0,3.0,8.0,0.13513873852271524,0.10697203027950959,0,0,8,8,2.5,5.0,5.0,5.0,Morelos
1002_COVID+Morelos,2.0,2.0,2.0,1.0,13.5,0.11804240406409491,0.18721992640691212,0,0,2,7,2.5,5.0,5.0,5.0,Morelos
1003_COVID+Morelos,2.0,2.0,2.0,1.0,12.0,0.09981734641140694,0.14477278380879371,0,0,4,3,2.5,5.0,5.0,5.0,Morelos
1004_COVID+Morelos,2.0,2.0,2.0,2.0,9.0,0.13513873852271524,0.08860708923341547,3,0,5,9,7.0,14.0,14.0,14.0,Morelos
1005_COVID+Morelos,2.0,1.0,1.0,1.0,11.0,0.2750916549917075,0.08860708923341547,0,0,8,17,2.5,5.0,3.0000000000000004,2.75,Morelos
1006_COVID+Morelos,2.0,2.0,2.0,2.0,6.0,0.09868862321733927,0.09531510295749379,0,0,5,13,2.5,5.0,5.0,5.0,Morelos
1007_COVID+Morelos,1.0,1.0,1.0,1.0,10.0,0.13513873852271524,0.08860708923341547,0,0,8,11,2.5,2.5,2.5,2.5,Morelos
1008_COVID+Morelos,1.0,1.0,1.0,2.0,8.0,0.13513873852271524,0.08860708923341547,10,0,7,9,7.0,7.0,7.0,7.0,Morelos
1009_COVID+Morelos,1.0,1.0,1.0,2.0,8.0,0.0,0.2400878867662875,0,0,8,3,2.5,2.5,2.5,2.5,Morelos
100_COVID+Baja+California,2.0,2.0,2.0,2.0,14.0,0.09868862321733927,0.16675646316711965,1,0,3,15,7.0,14.0,14.0,14.0,Baja_California
1010_COVID+Morelos,1.0,1.0,2.0,3.0,9.0,0.2750916549917075,0.10697203027950959,8,0,9,12,7.0,7.0,7.0,12.6,Morelos
1011_COVID+Morelos,1.0,1.0,1.0,1.0,6.0,0.0,0.19557911951292506,0,2,9,10,10.0,10.0,10.0,10.0,Morelos
1012_COVID+Morelos,1.0,1.0,1.0,2.0,7.0,0.2750916549917075,0.0,1,0,4,9,7.0,7.0,7.0,7.0,Morelos
1013_COVID+Morelos,1.0,1.0,1.0,1.0,11.0,0.13513873852271524,0.09196109609545464,0,0,4,8,2.5,2.5,2.5,2.5,Morelos
1014_COVID+Morelos,1.0,1.0,1.0,2.0,12.0,0.2543187002245267,0.08860708923341547,50,0,6,13,7.0,7.0,7.0,7.0,Morelos
1015_COVID+Morelos,1.0,1.0,1.0,1.0,8.0,0.09868862321733927,0.2400878867662875,1,0,10,9,7.0,7.0,7.0,7.0,Morelos
1016_COVID+Morelos,1.0,2.0,2.0,3.0,11.0,0.19648021552363454,0.08860708923341547,10,0,12,12,7.0,7.0,12.6,13.3,Morelos
1017_COVID+Morelos,1.0,1.0,1.0,2.0,10.0,0.13513873852271524,0.08860708923341547,0,0,2,11,2.5,2.5,2.5,2.5,Morelos
